name,ctype,csubtype,contract,address,all_categories
Atlantis,DeFi,DEX,AlgebraInterfaceMulticall,0xb4f9b6b019e75cbe51af4425b2fc12797e2ee2a1,DeFi::DEX
Atlantis,DeFi,DEX,AlgebraEternalFarming,0x50fcbf85d23af7c91f94842fecd83d16665d27ba,DeFi::DEX
Atlantis,DeFi,DEX,FarmingCenter,0x658e287e9c820484f5808f687dc4863b552de37d,DeFi::DEX
Balancer,DeFi,DEX,AuthorizerV2,0xe39b5e3b6d74016b2f6a9673d7d7493b6df549d5,DeFi::DEX
Balancer,DeFi,DEX,TestBalancerToken,0x4132f7acc9db7a6cf7be2dd3a9dc8b30c7e6e6c8,DeFi::DEX
Balancer,DeFi,DEX,VaultFactory,0xf24917fb88261a37cc57f686ebc831a5c0b9fd39,DeFi::DEX
Balancer,DeFi,DEX,ProtocolFeeController,0x1452b94e9e1d535a05d4c087a6428b512af36d0f,DeFi::DEX
Balancer,DeFi,DEX,VaultAdmin,0x9f1f11a414af861bef8108b3ce2cbc43debb3165,DeFi::DEX
Balancer,DeFi,DEX,VaultExtension,0xcdb7d6554f54e6cb9a05ac87e69f0cd0b51a729c,DeFi::DEX
Balancer,DeFi,DEX,Vault,0xd07101ebd191c366d5a177ca67826014b0e42ae3,DeFi::DEX
Balancer,DeFi,DEX,BatchRouter,0x956ccab09898c0af2aca5e6c229c3ad4e93d9288,DeFi::DEX
Balancer,DeFi,DEX,BufferRouter,0x9ac3e70db606659bf32d4bdfbb687ad193fd1f5b,DeFi::DEX
Balancer,DeFi,DEX,CompositeLiquidityRouter,0x36cac20dd805d128c1a6dd16eea845c574b5a17c,DeFi::DEX
Balancer,DeFi,DEX,Router,0x85a80afee867adf27b50bdb7b76da70f1e853062,DeFi::DEX
Balancer,DeFi,DEX,StablePoolFactory,0xb9f8ab3ed3f3acba64bc6cd2dca74b7f38fd7b88,DeFi::DEX
Balancer,DeFi,DEX,MockStablePool,0x67c2a650f6eda2b448061c8ce6923571493c2ad2,DeFi::DEX
Balancer,DeFi,DEX,VaultExplorer,0x9805dcfd25e6de36bad8fe9d3fe2c9b44b764102,DeFi::DEX
Balancer,DeFi,DEX,WeightedPoolFactory,0xf23b4db826dba14c0e857029dff076b1c0264843,DeFi::DEX
Balancer,DeFi,DEX,MockWeightedPool,0x482b7a3e1bff909eeaca6bcbf08d1060b5a4433f,DeFi::DEX
Bean Exchange,DeFi,DEX,SpotRouter,0xca810d095e90daae6e867c19df6d9a8c56db2c89,DeFi::DEX;DeFi::Perpetuals / Derivatives
Bean Exchange,DeFi,DEX,PerpsRouter,0xdf0a565f332278ff2d0c50876da3a6701cbc6123,DeFi::DEX;DeFi::Perpetuals / Derivatives
Bean Exchange,DeFi,DEX,StrategyVault,0x24f011a9da540dcc61c550ae62253dc36e834c49,DeFi::DEX;DeFi::Perpetuals / Derivatives
Bubblefi,DeFi,DEX,FACTORY,0xd829c1d3649dbc3fd96d3d22500ef33a46daae46,DeFi::DEX
Bubblefi,DeFi,DEX,ROUTER,0x0f2d067f8438869da670efc855eacac71616ca31,DeFi::DEX
Bubblefi,DeFi,DEX,RAFFLE,0x4a51b9c6f6368867d2dd9e1c398941a2ae9eb6c9,DeFi::DEX
Clober,DeFi,DEX,BookManager,0xaa9575d63dfc224b9583fc303db3188c08d5c85a,DeFi::DEX
Clober,DeFi,DEX,Controller,0xe64ace1bf550e57461cd4e24706633d7fac9d7b0,DeFi::DEX
Clober,DeFi,DEX,BookViewer,0x3e22d091f90ae759733b7cb06a6f7b440d84a425,DeFi::DEX
Clober,DeFi,DEX,Router,0xfd845859628946b317a78a9250da251114fbd846,DeFi::DEX
Crust Finance,DeFi,DEX,Factory,0x8b146d71a2b075407f1c4e8f2092f4ffe6d626b8,DeFi::DEX
Crust Finance,DeFi,DEX,NonfungibleTokenPositionDescriptor,0x41ff64e47e35d9ec56def353e15fbe3a27bec5ea,DeFi::DEX
Crust Finance,DeFi,DEX,NonfungiblePositionManager,0xa03cc635595f0607622222cd15822cf4f1bcd411,DeFi::DEX
Crust Finance,DeFi,DEX,QuoterV2,0xeb7b885cf774aab4c658123fb2bdc1096ee3b175,DeFi::DEX
Crust Finance,DeFi,DEX,Router,0x021724a16c7831be1faa306a324438ed95a6144e,DeFi::DEX
Crystal,DeFi,DEX,OldRouter,0xefe2f96df94bd1337e79bdf3d524cec44b10b45c,DeFi::DEX
Crystal,DeFi,DEX,OldFactory,0xc7e19a8ccd223e7def92f4dd620030f106409cf0,DeFi::DEX
Crystal,DeFi,DEX,RouterFactory,0x4e77071d619aa164ca6427547aefa41ac51be7a0,DeFi::DEX
Crystal,DeFi,DEX,DataHelper,0xf6759341d82bb4fc10e89e43c83568688cada58f,DeFi::DEX
Defx,DeFi,DEX,default,0xc30a6799ab7cde040438769c6de5025ce48c74ec,DeFi::DEX
Doppler,DeFi,DEX,Airlock,0x5f3ba43d44375286296cb85f1ea2ebfa25dde731,DeFi::DEX
Doppler,DeFi,DEX,TokenFactory,0x5fbe931dc4b923a7abe4c47ad68d5bf9eda5b76d,DeFi::DEX
Doppler,DeFi,DEX,UniswapV3Initializer,0x9916ec1c1e0462f6f8f7514e414f06bf001ac82a,DeFi::DEX
Doppler,DeFi,DEX,GovernanceFactory,0x136191b46478cab023cbc01a36160c4aad81677a,DeFi::DEX
Doppler,DeFi,DEX,UniswapV2LiquidityMigrator,0x8b4c7db9121fc885689c0a50d5a1429f15aec2a0,DeFi::DEX
Doppler,DeFi,DEX,UniswapV2Factory,0xfaafde6a5b658684cc5eb0c5c2c755b00a246f45,DeFi::DEX
Doppler,DeFi,DEX,UniswapV2Router02,0xaa47d2977d622dbdfd33eef6a8276727c52eb4e5,DeFi::DEX
Doppler,DeFi,DEX,UniswapV3Factory,0xb4dee32eb70a5e55f3d2d861f49fb3d79f7a14d9,DeFi::DEX
Dyson Finance,DeFi,DEX,Router,0x9ff47db62b4a2f63974f5d98bf6ad15f3814e816,DeFi::DEX
Gasp,DeFi,DEX,contract,0xfd6a45621ddfebf94c082e60e0de92aa305a97a1,DeFi::DEX
Kuru,DeFi,DEX,Router,0xc816865f172d640d93712c68a7e1f83f3fa63235,DeFi::DEX
Kuru,DeFi,DEX,MarginAccount,0x4b186949f31fca0ad08497df9169a6bebf0e26ef,DeFi::DEX
Kuru,DeFi,DEX,KuruForwarder,0x350678d87baa7f513b262b7273ad8ccec6ff0f78,DeFi::DEX
Kuru,DeFi,DEX,MONUSDC,0xd8336cb07d4be511ccaf06b799851e1a80f98c71,DeFi::DEX
Kuru,DeFi,DEX,KuruDeployer,0x67a4e43c7ce69e24d495a39c43489bc7070f009b,DeFi::DEX
Kuru,DeFi,DEX,KuruUtils,0x0ec4760f18c70beacdcdb2a12edde02382cf1f66,DeFi::DEX
LFJ,DeFi,DEX,Factory,0xb43120c4745967fa9b93e79c149e66b0f2d6fe0c,DeFi::DEX
LFJ,DeFi,DEX,Router,0x18556da13313f3532c54711497a8fedac273220e,DeFi::DEX
Mach Exchange,DeFi,DEX,contract,0x432b53c0595400f3ee94da737cfcca12c84fe299,DeFi::DEX
Madhouse,DeFi,DEX,Aggregator,0x1e538356d3cfe7fa04696a92515add4a895ecb65,DeFi::DEX
Madhouse,DeFi,DEX,UniswapV2Adapter,0xe5a44bc972134f6baa8168adce623f7a33bac4ab,DeFi::DEX
Madhouse,DeFi,DEX,UniswapV3Adapter,0xc19c9cf910ecf305c151ee5d569db1867ddf9d41,DeFi::DEX
Madhouse,DeFi,DEX,PancakeSwapV2Adapter,0x54f44e229a8d6fd2375f8bc3f59acc5a54a1d1d3,DeFi::DEX
Madhouse,DeFi,DEX,PancakeSwapV3Adapter,0x0b9c830db82fd61d00d7ef786c3d83d07fc7567b,DeFi::DEX
Madhouse,DeFi,DEX,WrappedNativeTokenAdapter,0x04a5199b1a67557ff065af6aa5bb74c17bc90e6c,DeFi::DEX
Madness,DeFi,DEX,Factory,0x642871094fd976de43a21cb48aa20b4a8baaaa0d,DeFi::DEX
Madness,DeFi,DEX,Router,0x64aff7245ebdaaecaf266852139c67e4d8dba4de,DeFi::DEX
Madness,DeFi,DEX,Multicall2,0x1a6720a763f8cbca3804b3ece26efe67b3a0c48e,DeFi::DEX
Madness,DeFi,DEX,ContractMAD,0xc8527e96c3cb9522f6e35e95c0a28feab8144f15,DeFi::DEX
Monadex,DeFi,DEX,Multicall,0x0935b74023b140ea14d69df16121c174dae6b853,DeFi::DEX
Monadex,DeFi,DEX,Factory,0xe857d3ef94f7dd1c710f2570541096454103da42,DeFi::DEX
Monadex,DeFi,DEX,Router,0x0f5c0ac0d41fc9d5e1366b94934330b67de0193b,DeFi::DEX
Monadex,DeFi,DEX,Raffle,0x3c977e357b24f0b1432a1b6ee1bd259bf2fb2a65,DeFi::DEX
Monda,DeFi,DEX,router,0xc80585f78a6e44fb46e1445006f820448840386e,DeFi::DEX
Monday Trade,DeFi,DEX,Aggregator,0xef8dd29d887ecd977064ce169366c95d53926b13,DeFi::DEX
Monday Trade,DeFi,DEX,NFTPositionManager,0x92dc89ad1f6136a474f9e035ebc7db2009717cef,DeFi::DEX
Monday Trade,DeFi,DEX,QuoterV2,0x9c6d653c95d3bbfceec215b5f4fb5297b80b47b4,DeFi::DEX
